# BEAST v1.10.5 Prerelease #23570d1																			
# Generated Fri Jun 30 14:21:54 CEST 2023 [seed=1688127711194]																			
# -beagle_gpu -beagle_order 1 -overwrite -load_state checkpoint.state -save_every 10000 -save_state resumed.state -force_resume b.1.1.7.xml																			
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.doublingTime	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
45500000	-54429.56011	-2467.248275	-51962.31184	0.353630111	2020.643638	60.08480104	603.2639483	0.02092323	8.69647301	0.293449912	0.180929236	0.193487621	0.33213323	0.077905747	5.40E-04	5.40E-04	-51962.31184	0	-2458.272976
46000000	-54375.31106	-2410.105892	-51965.20517	0.314964228	2020.682304	58.46841366	654.4467411	0.020337867	7.8671993	0.296439692	0.178879212	0.189145759	0.335535338	0.007067321	5.87E-04	5.87E-04	-51965.20517	0	-2401.329661
46500000	-54434.80288	-2489.1524	-51945.65048	0.308757875	2020.68851	60.90196735	777.6738992	0.020492854	7.278538198	0.292605947	0.180989006	0.192772759	0.333632289	0.009707214	5.63E-04	5.63E-04	-51945.65048	0	-2480.352916
47000000	-54527.2164	-2557.43248	-51969.78392	0.31770547	2020.679562	63.58655193	748.4127204	0.021111397	7.767576114	0.296045018	0.181416924	0.188907657	0.333630401	0.031043975	5.03E-04	5.03E-04	-51969.78392	0	-2548.573468
47500000	-54518.48028	-2581.948153	-51936.53213	0.334543437	2020.662724	63.07869005	729.7249206	0.021152053	7.599461008	0.292387699	0.181341395	0.191381794	0.334889113	0.117792855	5.16E-04	5.16E-04	-51936.53213	0	-2572.95944
48000000	-54531.46496	-2581.255784	-51950.20918	0.332623398	2020.664644	62.24520015	555.4386846	0.02224274	7.321988378	0.293525218	0.181675069	0.190502337	0.334297375	0.141739163	5.54E-04	5.54E-04	-51950.20918	0	-2572.471385
48500000	-54442.64544	-2490.521984	-51952.12346	0.291123066	2020.706145	63.21346931	2134.166551	0.017167173	7.749074049	0.291265203	0.184585279	0.193068562	0.331080956	0.021704561	5.33E-04	5.33E-04	-51952.12346	0	-2480.757069
49000000	-54444.06886	-2473.960595	-51970.10827	0.295418815	2020.701849	61.53113827	960.6129682	0.01931182	8.676981459	0.289133653	0.179742847	0.197773761	0.33334974	0.034382302	5.81E-04	5.81E-04	-51970.10827	0	-2464.641449
49500000	-54484.65456	-2525.138186	-51959.51637	0.301922918	2020.695345	60.71294114	604.9165228	0.021530155	8.428398277	0.294419602	0.17883892	0.189779028	0.336962451	0.034102956	5.75E-04	5.75E-04	-51959.51637	0	-2516.244917
50000000	-54394.19733	-2444.442883	-51949.75444	0.309325972	2020.687942	60.62783956	1173.779119	0.018622137	7.373035433	0.29459542	0.181370985	0.191495239	0.332538356	0.061315494	5.59E-04	5.59E-04	-51949.75444	0	-2435.184669
