# BEAST v1.9.0 Prerelease #0fccb02
# Generated Wed Aug 16 14:34:38 CEST 2017 [seed=1502886874084]
# -beagle_SSE batRABV_6Pglm.xml
state	host.coefficients1	host.coefficients2	host.coefficients3	host.coefficients4	host.coefficients5	host.coefficients6	host.coefIndicators1	host.coefIndicators2	host.coefIndicators3	host.coefIndicators4	host.coefIndicators5	host.coefIndicators6	host.coefficientsTimesIndicators1	host.coefficientsTimesIndicators2	host.coefficientsTimesIndicators3	host.coefficientsTimesIndicators4	host.coefficientsTimesIndicators5	host.coefficientsTimesIndicators6
56000000	-0.5685588314820421	0.6742578599163493	-1.1240233040741876	-0.1649247525068865	0.5506090601963887	0.44446104550645466	1.0	0.0	0.0	0.0	0.0	0.0	-0.5685588314820421	0.0	-0.0	-0.0	0.0	0.0
56050000	-0.4998394768167273	0.31503932076132984	-3.3378550829934244	-3.240746955446311	-1.73795796414768	-4.13672036169792	1.0	1.0	0.0	0.0	0.0	0.0	-0.4998394768167273	0.31503932076132984	-0.0	-0.0	-0.0	-0.0
56100000	-0.5835083121897566	-1.4816851965334645	-5.483438220558999	2.6499637546458192	-2.023818567189317	0.172004442263868	1.0	0.0	0.0	0.0	0.0	0.0	-0.5835083121897566	-0.0	-0.0	0.0	-0.0	0.0
56150000	-0.5389624027216017	0.251859401887847	2.0061851968116877	-1.1200151931437985	-0.1664559529134923	1.2443750829811975	1.0	0.0	0.0	0.0	0.0	0.0	-0.5389624027216017	0.0	0.0	-0.0	-0.0	0.0
56200000	-0.7009191232974407	0.2761594778070133	0.27848431615304625	4.870994162665948	-2.092596127483837	-2.099510604984234	1.0	1.0	0.0	0.0	0.0	0.0	-0.7009191232974407	0.2761594778070133	0.0	0.0	-0.0	-0.0
56250000	-0.5616322495698002	0.37166662852216875	0.4276995891755742	0.24186665378255898	-0.44280586103365277	0.9354165057964757	1.0	0.0	0.0	0.0	0.0	0.0	-0.5616322495698002	0.0	0.0	0.0	-0.0	0.0
56300000	-0.4854217013454703	-1.9768614196040641	3.0956025266623857	-1.8918482200257996	-0.0108591379178208	1.2107818340118826	1.0	0.0	0.0	0.0	0.0	0.0	-0.4854217013454703	-0.0	0.0	-0.0	-0.0	0.0
56350000	-0.6842899747834332	0.5468676958413451	-0.7065871940968319	-2.501892872284773	0.06366829015506659	-2.2042399674846247	1.0	1.0	0.0	0.0	0.0	0.0	-0.6842899747834332	0.5468676958413451	-0.0	-0.0	0.0	-0.0
56400000	-0.5358163048775885	0.04663665314390503	2.9577275573218085	-3.1508436882418653	-2.586730574658942	2.607134224497458	1.0	0.0	0.0	0.0	0.0	0.0	-0.5358163048775885	0.0	0.0	-0.0	-0.0	0.0
56450000	-0.7246776334312466	0.7072340665537904	-2.147116450283731	0.10384336596779153	2.3185932918305565	-2.146584588303286	1.0	1.0	0.0	0.0	0.0	0.0	-0.7246776334312466	0.7072340665537904	-0.0	0.0	0.0	-0.0
56500000	-0.656569759083611	1.032016497411278	-2.7876420068961476	5.657403613402101	0.14217635071540474	0.1279109716540172	1.0	1.0	0.0	0.0	0.0	0.0	-0.656569759083611	1.032016497411278	-0.0	0.0	0.0	0.0
56550000	-0.6260915461016545	0.3089236186569385	-3.6705776233261003	0.6067917431936856	-3.076712505531718	0.3127537175230421	1.0	1.0	0.0	0.0	0.0	0.0	-0.6260915461016545	0.3089236186569385	-0.0	0.0	-0.0	0.0
